Name,Stars,CreatedAt,AgeInYears,Url,ReleasesCount,AvgCbo,AvgDit,AvgLcom,CkClassRows,TotalLoc,CommentLines
Tencent/tinker,17820,09/06/2016 06:57:52,9,https://github.com/Tencent/tinker.git,0,4.813387423935091,1.6369168356997972,27.97971602434077,493,56849,10344
ben-manes/caffeine,17576,12/13/2014 08:45:11,11,https://github.com/ben-manes/caffeine.git,0,4.822443181818182,1.5440340909090908,166.43394886363637,1408,136555,21379
infinilabs/analysis-ik,17433,12/16/2011 09:01:45,14,https://github.com/infinilabs/analysis-ik.git,0,4.926829268292683,1.3414634146341464,20.658536585365855,41,5380,1491
openzipkin/zipkin,17419,06/06/2012 18:26:16,13,https://github.com/openzipkin/zipkin.git,0,6.294762484774665,1.4323995127892815,19.354445797807553,821,59623,6474
justauth/JustAuth,17415,01/31/2019 09:42:20,7,https://github.com/justauth/JustAuth.git,0,5.51010101010101,1.3434343434343434,12.984848484848484,198,14631,3335
baomidou/mybatis-plus,17327,08/18/2016 10:06:53,9,https://github.com/baomidou/mybatis-plus.git,0,5.673352435530086,1.3333333333333333,25.03724928366762,1047,94696,27202
gyoogle/tech-interview-for-developer,17231,06/09/2019 04:42:57,6,https://github.com/gyoogle/tech-interview-for-developer.git,0,1.3076923076923077,1,0.9230769230769231,13,748,40
material-components/material-components-android,17217,12/05/2016 16:11:29,9,https://github.com/material-components/material-components-android.git,0,7.077756833176249,1.4538171536286522,93.88312912346842,2122,215929,46800
facebook/fresco,17164,03/02/2015 09:58:04,11,https://github.com/facebook/fresco.git,0,6.548548548548548,1.4124124124124124,27.177177177177178,999,80823,14537
alibaba/DataX,17148,01/18/2018 10:09:47,8,https://github.com/alibaba/DataX.git,0,4.328150572831424,1.5294599018003274,22.648936170212767,1222,102183,9528
nostra13/Android-Universal-Image-Loader,17056,11/27/2011 18:48:23,14,https://github.com/nostra13/Android-Universal-Image-Loader.git,0,4.864285714285714,1.5857142857142856,28.84285714285714,140,13900,5246
heibaiying/BigData-Notes,16882,03/10/2019 01:40:01,7,https://github.com/heibaiying/BigData-Notes.git,0,5.714285714285714,1.2207792207792207,0.8181818181818182,77,4296,675
questdb/questdb,16793,04/28/2014 23:29:15,11,https://github.com/questdb/questdb.git,0,0,0,0,0,1488259,188089
winterbe/java8-tutorial,16769,03/16/2014 17:25:43,12,https://github.com/winterbe/java8-tutorial.git,0,1.0340909090909092,1,3.909090909090909,88,3673,335
Grasscutters/Grasscutter,16768,04/17/2022 12:43:46,3,https://github.com/Grasscutters/Grasscutter.git,0,0,0,0,0,3259892,474548
shuzheng/zheng,16702,10/04/2016 10:07:06,9,https://github.com/shuzheng/zheng.git,0,4.198428290766208,1.4086444007858545,340.8565815324165,509,41624,3449
prestodb/presto,16669,08/09/2012 01:03:37,13,https://github.com/prestodb/presto.git,0,8.72164002141819,1.3615084525357608,85.27124607970626,13073,1617285,174939
JeffLi1993/springboot-learning-example,16592,02/06/2017 07:02:25,9,https://github.com/JeffLi1993/springboot-learning-example.git,0,4.7105263157894735,1.043859649122807,2.491228070175439,114,8125,1800
neo4j/neo4j,16192,11/12/2012 08:46:15,13,https://github.com/neo4j/neo4j.git,0,0,0,0,0,1384775,243672
ashishps1/awesome-leetcode-resources,16096,10/25/2023 01:48:19,2,https://github.com/ashishps1/awesome-leetcode-resources.git,0,1.1818181818181819,1,4.7272727272727275,11,536,69
android-hacker/VirtualXposed,15991,12/01/2017 09:00:58,8,https://github.com/android-hacker/VirtualXposed.git,0,3.6889194769442533,2.792842395044735,14.695801789401239,1453,58054,5146
dyc87112/SpringBoot-Learning,15787,08/21/2016 03:39:06,9,https://github.com/dyc87112/SpringBoot-Learning.git,0,4.4869888475836435,1.0260223048327137,1.4386617100371748,269,11191,1055
quarkusio/quarkus,15565,07/06/2018 00:44:20,7,https://github.com/quarkusio/quarkus.git,0,5.137281825948981,1.2236970584645428,53.50735383864274,32772,1677747,161296
android10/Android-CleanArchitecture,15561,08/19/2014 14:09:26,11,https://github.com/android10/Android-CleanArchitecture.git,0,5.142857142857143,1.4285714285714286,6.723809523809524,105,5207,1714
apache/hadoop,15511,08/28/2014 07:00:08,11,https://github.com/apache/hadoop.git,0,7.349690740403856,1.5941877387666,70.34518828451883,21988,2959748,643669
Konloch/bytecode-viewer,15460,10/14/2014 10:26:46,11,https://github.com/Konloch/bytecode-viewer.git,0,4.219806763285024,1.9565217391304348,13.68840579710145,414,44830,9041
mockito/mockito,15434,10/13/2012 20:27:12,13,https://github.com/mockito/mockito.git,0,3.2190565156468938,1.3970107426436245,18.98505371321812,2141,100650,21537
apache/pulsar,15177,06/28/2016 07:00:03,9,https://github.com/apache/pulsar.git,0,6.825860124083475,1.694303440496334,89.57896221094191,7092,898297,157258
apache/doris,15160,08/10/2017 12:13:30,8,https://github.com/apache/doris.git,0,8.43839693845009,1.6227277559264377,124.96927819708728,9407,1218608,201435
java-decompiler/jd-gui,15060,03/25/2015 05:28:41,11,https://github.com/java-decompiler/jd-gui.git,0,4.476658476658477,2.407862407862408,11.115479115479115,407,22444,2640
zhisheng17/flink-learning,15057,01/01/2019 07:38:28,7,https://github.com/zhisheng17/flink-learning.git,0,4.360060514372163,1.1437216338880485,3.022692889561271,661,32619,6874
supertokens/supertokens-core,14989,01/05/2020 13:30:52,6,https://github.com/supertokens/supertokens-core.git,0,8.911678115799804,1.5112855740922473,73.71344455348381,1019,198345,16347
zaproxy/zaproxy,14918,06/03/2015 16:55:01,10,https://github.com/zaproxy/zaproxy.git,0,4.515303983228511,1.8519916142557653,70.91991614255765,2385,307758,76348
cryptomator/cryptomator,14846,02/02/2014 00:43:47,12,https://github.com/cryptomator/cryptomator.git,0,8.24524312896406,1.4207188160676534,19.62367864693446,473,32757,1576
elastic/logstash,14816,11/18/2010 01:31:50,15,https://github.com/elastic/logstash.git,0,5.294748124330118,1.6184351554126473,21.573419078242228,933,77868,16049
theonedev/onedev,14808,11/06/2018 02:57:01,7,https://github.com/theonedev/onedev.git,0,5.77154046997389,1.384642772371232,26.84773320674104,8426,429612,14242
eclipse-vertx/vert.x,14658,06/17/2011 14:54:55,14,https://github.com/eclipse-vertx/vert.x.git,0,6.427514792899408,1.4985207100591715,157.20808678500987,2028,238089,39887
arduino/Arduino,14553,09/17/2010 19:10:36,15,https://github.com/arduino/Arduino.git,0,3.5444444444444443,1.6422222222222222,32.72222222222222,450,44182,9685
hdodenhof/CircleImageView,14543,01/17/2014 16:44:46,12,https://github.com/hdodenhof/CircleImageView.git,0,11,2.3333333333333335,178.66666666666666,3,526,22
